# LOG file for the Newton Iterator
# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.0	0.0	0.0	0.0	initial
0.0	1.0	1.0	0.0	initial
# Converged newton Details
0.0	0.0	0.0	0.0	1
0.0	1.0	1.0	0.0	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.1	0.0	0.0	0.0	initial
0.1	1.0	0.836584770969661	-0.163415229030339	initial
# Converged newton Details
0.1	0.0	0.0	0.0	4
0.1	0.7878586967329325	0.8191195716835223	0.03126087495058982	4


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.14263861894764363	0.0	0.0	0.0	initial
0.14263861894764363	0.6974045748023225	0.7283918798334327	0.031000095037058917	initial
# Converged newton Details
0.15596239047150187	1.0705447267916857E-17	0.0	-1.0705447267916857E-17	1
0.15596239047150187	0.703685186507194	0.6937154967281383	-0.009804460748716437	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.21132737975457494	2.1296613375457407E-17	0.0	-2.1296613375457407E-17	initial
0.21132737975457494	0.6204102325193039	0.5843282272456868	-0.03606549724268293	initial
# Converged newton Details
0.19938608586609693	7.39194189561761E-15	0.0	-7.39194189561761E-15	8
0.19938608586609693	0.6124711154558738	0.5806844140392625	-0.031988813254803294	8


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.242370102530192	1.46984409766926E-14	0.0	-1.46984409766926E-14	initial
0.242370102530192	0.5221806158924048	0.4896339976204638	-0.032587516546776885	initial
# Converged newton Details
0.24445333102831227	-6.201705959785011E-11	0.0	6.201705959785011E-11	5
0.24445333102831227	0.5231723650676918	0.4768405710886373	-0.04721266845853073	5


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.28950858541237573	-1.240250086547898E-10	0.0	1.240250086547898E-10	initial
0.28950858541237573	0.43389737387538013	0.41881989886972043	-0.014882650496438887	initial
# Converged newton Details
0.2804622230070503	-2.2679505508336276E-9	0.0	2.2679505508336276E-9	1
0.2804622230070503	0.4293318605778838	0.4138182629387269	-0.015209017032375038	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.3162876559057894	-4.462645192257532E-9	0.0	4.462645192257532E-9	initial
0.3162876559057894	0.33596945723682825	0.3267424152290303	-0.009056161579481248	initial
# Converged newton Details
0.3162876559057894	-4.462645192257532E-9	0.0	4.462645192257532E-9	1
0.3162876559057894	0.33596945723682825	0.35934711481261167	0.024398478515700095	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.35211308880452846	-6.657339833681436E-9	0.0	6.657339833681436E-9	initial
0.35211308880452846	0.2426070538957727	0.2500572575847709	0.00718042379607739	initial
# Converged newton Details
0.35211308880452846	-6.657339833681436E-9	0.0	6.657339833681436E-9	1
0.35211308880452846	0.2426070538957727	0.3273139500297442	0.08369053682403682	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.38793852170326754	-8.85203447510534E-9	0.0	8.85203447510534E-9	initial
0.38793852170326754	0.14924465055471714	0.174335960737656	0.02491611684563974	initial
# Converged newton Details
0.398882001409271	-1.4168647679808056E-8	0.0	1.4168647679808056E-8	1
0.398882001409271	0.15344393082017865	0.14255472932778104	-0.01110083147455096	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.4453328995722273	-2.1628880907374313E-8	0.0	2.1628880907374313E-8	initial
0.4453328995722273	0.06488708997852144	0.05769452706722191	-0.007859874035630314	initial
# Converged newton Details
0.4453328995722273	-2.1628880907374313E-8	0.0	2.1628880907374313E-8	1
0.4453328995722273	0.06488708997852144	0.10042757287328964	0.03544009622016975	1


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.49178379773518366	-2.908911413494057E-8	0.0	2.908911413494057E-8	initial
0.49178379773518366	-0.023669750863135774	0.0	0.023669750863135774	initial
# Converged newton Details
0.5271275947214229	3.4190929319126835E-7	0.0	-3.4190929319126835E-7	2
0.5271275947214229	-0.00513079781451984	0.0	0.00513079781451984	2


# initial Newton
# b.parameter	b.X[i]	b.liftAverage	solution(f-x)	iterations
0.6030953910328234	6.795496977550321E-7	0.0	-6.795496977550321E-7	initial
0.6030953910328234	-0.07016074417368251	0.0	0.07016074417368251	initial
# Converged newton Details
0.6631543851200243	2.6029600780788365E-6	0.0	-2.6029600780788365E-6	1
0.6631543851200243	0.0	0.0	0.0	1


